"Timestamp","User_ID","Application_Type","Signal_Strength","Latency","Required_Bandwidth","Allocated_Bandwidth","Resource_Allocation","Hour","DayOfWeek","IsWeekend"
NA,"User_71","Video_Call",-82,28,10.7,12.2,70,NA,NA,0
NA,"User_72","Online_Gaming",-75,22,2.8,3.1,80,NA,NA,0
NA,"User_73","Web_Browsing",-91,25,0.9,0.9,70,NA,NA,0
NA,"User_74","VoIP_Call",-87,19,150,175,90,NA,NA,0
NA,"User_75","Video_Call",-68,25,11,12.5,75,NA,NA,0
NA,"User_76","Streaming",-78,33,4.4,5,85,NA,NA,0
NA,"User_77","Emergency_Service",-63,6,0.9,1,70,NA,NA,0
NA,"User_78","Background_Download",-97,44,670,670,60,NA,NA,0
NA,"User_79","IoT_Temperature",-100,101,2,3,75,NA,NA,0
NA,"User_80","Video_Streaming",-89,30,3.9,4.2,70,NA,NA,0
NA,"User_81","Video_Call",-83,27,10.8,12,70,NA,NA,0
NA,"User_82","Online_Gaming",-74,21,2.9,3.2,80,NA,NA,0
NA,"User_83","Web_Browsing",-92,24,0.8,0.8,70,NA,NA,0
NA,"User_84","VoIP_Call",-88,18,145,170,90,NA,NA,0
NA,"User_85","Video_Call",-67,24,11.2,12.8,75,NA,NA,0
NA,"User_86","Streaming",-77,32,4.5,5.1,85,NA,NA,0
NA,"User_87","Emergency_Service",-62,6,0.8,0.9,70,NA,NA,0
NA,"User_88","Background_Download",-98,43,680,680,60,NA,NA,0
NA,"User_89","IoT_Temperature",-100,100,1,2,75,NA,NA,0
NA,"User_90","Video_Streaming",-90,29,4,4.3,70,NA,NA,0
NA,"User_91","Video_Call",-84,26,10.9,12.1,70,NA,NA,0
NA,"User_92","Online_Gaming",-73,20,3,3.3,80,NA,NA,0
NA,"User_93","Web_Browsing",-93,23,0.7,0.7,70,NA,NA,0
NA,"User_94","VoIP_Call",-89,17,140,165,90,NA,NA,0
NA,"User_95","Video_Call",-66,23,11.4,12.7,75,NA,NA,0
NA,"User_96","Streaming",-76,31,4.6,5.2,85,NA,NA,0
NA,"User_97","Emergency_Service",-61,6,0.7,0.8,70,NA,NA,0
NA,"User_98","Background_Download",-99,42,690,690,60,NA,NA,0
NA,"User_99","IoT_Temperature",-100,99,1,2,75,NA,NA,0
NA,"User_100","Video_Streaming",-91,28,4.1,4.4,70,NA,NA,0
NA,"User_101","VoIP_Call",-86,18,155,180,90,NA,NA,0
NA,"User_102","Online_Gaming",-74,22,2.9,3.2,80,NA,NA,0
NA,"User_103","Web_Browsing",-92,25,0.8,0.8,70,NA,NA,0
NA,"User_104","Video_Call",-67,24,11.2,12.5,75,NA,NA,0
NA,"User_105","Streaming",-77,32,4.5,5.1,85,NA,NA,0
NA,"User_106","Emergency_Service",-62,6,0.8,0.9,70,NA,NA,0
NA,"User_107","Background_Download",-97,44,670,670,60,NA,NA,0
NA,"User_108","IoT_Temperature",-100,100,1,2,75,NA,NA,0
NA,"User_109","Video_Streaming",-90,29,4,4.3,70,NA,NA,0
NA,"User_110","VoIP_Call",-85,19,150,175,90,NA,NA,0
NA,"User_111","Video_Call",-83,27,10.8,12,70,NA,NA,0
NA,"User_112","Online_Gaming",-72,21,3.1,3.4,80,NA,NA,0
NA,"User_113","Web_Browsing",-94,24,0.7,0.7,70,NA,NA,0
NA,"User_114","VoIP_Call",-88,18,145,170,90,NA,NA,0
NA,"User_115","Video_Call",-68,25,11.4,12.7,75,NA,NA,0
NA,"User_116","Streaming",-76,31,4.6,5.2,85,NA,NA,0
NA,"User_117","Emergency_Service",-61,6,0.7,0.8,70,NA,NA,0
NA,"User_118","Background_Download",-98,43,680,680,60,NA,NA,0
NA,"User_119","IoT_Temperature",-100,99,1,2,75,NA,NA,0
NA,"User_120","Video_Streaming",-89,30,4.1,4.4,70,NA,NA,0
NA,"User_121","VoIP_Call",-86,19,155,180,90,NA,NA,0
NA,"User_122","Online_Gaming",-74,22,2.9,3.2,80,NA,NA,0
NA,"User_123","Web_Browsing",-92,25,0.8,0.8,70,NA,NA,0
NA,"User_124","Video_Call",-67,24,11.2,12.5,75,NA,NA,0
NA,"User_125","Streaming",-77,32,4.5,5.1,85,NA,NA,0
NA,"User_126","Emergency_Service",-62,6,0.8,0.9,70,NA,NA,0
NA,"User_127","Background_Download",-97,44,670,670,60,NA,NA,0
NA,"User_128","IoT_Temperature",-100,100,1,2,75,NA,NA,0
NA,"User_129","Video_Streaming",-90,29,4,4.3,70,NA,NA,0
NA,"User_130","Video_Call",-85,19,150,175,90,NA,NA,0
NA,"User_131","Web_Browsing",-85,28,1.5,1.5,70,NA,NA,0
NA,"User_132","Background_Download",-99,46,620,620,60,NA,NA,0
NA,"User_133","VoIP_Call",-88,20,130,155,90,NA,NA,0
NA,"User_134","Streaming",-75,30,5,5.7,85,NA,NA,0
NA,"User_135","Video_Call",-66,26,11,12.3,75,NA,NA,0
NA,"User_136","Video_Streaming",-80,29,4.2,4.6,70,NA,NA,0
NA,"User_137","Emergency_Service",-60,5,0.9,1,70,NA,NA,0
NA,"User_138","Web_Browsing",-94,27,0.6,0.6,70,NA,NA,0
NA,"User_139","Background_Download",-96,45,660,660,60,NA,NA,0
NA,"User_140","Online_Gaming",-72,20,3.2,3.5,80,NA,NA,0
NA,"User_141","Streaming",-78,32,4.4,5,85,NA,NA,0
NA,"User_142","Video_Call",-67,27,11.1,12.4,75,NA,NA,0
NA,"User_143","Video_Streaming",-81,28,4.1,4.5,70,NA,NA,0
NA,"User_144","Emergency_Service",-59,5,0.9,1.1,70,NA,NA,0
NA,"User_145","Web_Browsing",-95,26,0.7,0.7,70,NA,NA,0
NA,"User_146","Background_Download",-95,47,610,610,60,NA,NA,0
NA,"User_147","VoIP_Call",-87,21,125,150,90,NA,NA,0
NA,"User_148","Online_Gaming",-71,19,3.3,3.6,80,NA,NA,0
NA,"User_149","Streaming",-79,33,4.3,4.8,85,NA,NA,0
NA,"User_150","Video_Call",-68,28,11.3,12.6,75,NA,NA,0
NA,"User_151","Video_Streaming",-82,30,4,4.4,70,NA,NA,0
NA,"User_152","Emergency_Service",-58,5,0.8,1,70,NA,NA,0
NA,"User_153","Web_Browsing",-96,25,0.6,0.6,70,NA,NA,0
NA,"User_154","Background_Download",-94,48,650,650,60,NA,NA,0
NA,"User_155","VoIP_Call",-86,22,120,145,90,NA,NA,0
NA,"User_156","Streaming",-80,31,4.4,4.9,85,NA,NA,0
NA,"User_157","Video_Call",-66,25,11.5,12.8,75,NA,NA,0
NA,"User_158","Video_Streaming",-83,31,4,4.4,70,NA,NA,0
NA,"User_159","Emergency_Service",-58,5,0.8,1,70,NA,NA,0
NA,"User_160","Web_Browsing",-97,24,0.5,0.5,70,NA,NA,0
NA,"User_161","Background_Download",-97,49,640,640,60,NA,NA,0
NA,"User_162","VoIP_Call",-85,23,115,140,90,NA,NA,0
NA,"User_163","Online_Gaming",-70,18,3.4,3.7,80,NA,NA,0
NA,"User_164","Streaming",-81,32,4.2,4.7,85,NA,NA,0
NA,"User_165","Video_Call",-65,24,11.6,12.9,75,NA,NA,0
NA,"User_166","Video_Streaming",-84,30,3.9,4.3,70,NA,NA,0
NA,"User_167","Emergency_Service",-57,5,0.7,0.9,70,NA,NA,0
NA,"User_168","Web_Browsing",-97,23,0.5,0.5,70,NA,NA,0
NA,"User_169","Background_Download",-98,50,630,630,60,NA,NA,0
NA,"User_170","VoIP_Call",-84,24,110,135,90,NA,NA,0
NA,"User_171","Online_Gaming",-69,19,3.5,3.8,80,NA,NA,0
NA,"User_172","Streaming",-82,33,4.1,4.6,85,NA,NA,0
NA,"User_173","Video_Call",-64,25,11.7,13,75,NA,NA,0
NA,"User_174","Video_Streaming",-85,29,3.8,4.2,70,NA,NA,0
NA,"User_175","Emergency_Service",-57,5,0.7,0.8,70,NA,NA,0
NA,"User_176","Web_Browsing",-98,22,0.5,0.5,70,NA,NA,0
NA,"User_177","Background_Download",-98,51,620,620,60,NA,NA,0
NA,"User_178","VoIP_Call",-83,25,105,130,90,NA,NA,0
NA,"User_179","Online_Gaming",-68,20,3.6,3.9,80,NA,NA,0
NA,"User_180","Streaming",-83,34,4,4.5,85,NA,NA,0
NA,"User_181","Video_Call",-63,26,11.8,13.1,75,NA,NA,0
NA,"User_182","Video_Streaming",-86,31,3.7,4.1,70,NA,NA,0
NA,"User_183","Emergency_Service",-56,5,0.7,0.8,70,NA,NA,0
NA,"User_184","Web_Browsing",-98,21,0.5,0.5,70,NA,NA,0
NA,"User_185","Background_Download",-99,52,610,610,60,NA,NA,0
NA,"User_186","VoIP_Call",-82,26,100,125,90,NA,NA,0
NA,"User_187","Online_Gaming",-67,21,3.7,4,80,NA,NA,0
NA,"User_188","Streaming",-84,35,3.9,4.4,85,NA,NA,0
NA,"User_189","Video_Call",-63,27,11.9,13.2,75,NA,NA,0
NA,"User_190","Video_Streaming",-87,32,3.6,4,70,NA,NA,0
NA,"User_191","Emergency_Service",-55,5,0.7,0.8,70,NA,NA,0
NA,"User_192","Web_Browsing",-99,20,0.4,0.4,70,NA,NA,0
NA,"User_193","Background_Download",-100,53,600,600,60,NA,NA,0
NA,"User_194","VoIP_Call",-81,27,95,120,90,NA,NA,0
NA,"User_195","Online_Gaming",-66,22,3.8,4.1,80,NA,NA,0
NA,"User_196","Streaming",-85,36,3.8,4.3,85,NA,NA,0
NA,"User_197","Video_Call",-62,28,12,13.3,75,NA,NA,0
NA,"User_198","Video_Streaming",-88,33,3.5,3.9,70,NA,NA,0
NA,"User_199","Emergency_Service",-54,5,0.6,0.7,70,NA,NA,0
NA,"User_200","Web_Browsing",-100,19,0.4,0.4,70,NA,NA,0
NA,"User_201","Background_Download",-100,54,590,590,60,NA,NA,0
NA,"User_202","VoIP_Call",-80,28,90,115,90,NA,NA,0
NA,"User_203","Online_Gaming",-65,23,3.9,4.2,80,NA,NA,0
NA,"User_204","Streaming",-86,37,3.7,4.2,85,NA,NA,0
NA,"User_205","Video_Call",-61,29,12.1,13.4,75,NA,NA,0
NA,"User_206","Video_Streaming",-89,34,3.4,3.8,70,NA,NA,0
NA,"User_207","Emergency_Service",-54,5,0.6,0.7,70,NA,NA,0
NA,"User_208","Web_Browsing",-100,18,0.4,0.4,70,NA,NA,0
NA,"User_209","Background_Download",-100,55,580,580,60,NA,NA,0
NA,"User_210","VoIP_Call",-79,29,85,110,90,NA,NA,0
NA,"User_211","Online_Gaming",-64,24,4,4.3,80,NA,NA,0
NA,"User_212","Streaming",-87,38,3.6,4.1,85,NA,NA,0
NA,"User_213","Video_Call",-60,30,12.2,13.5,75,NA,NA,0
NA,"User_214","Video_Streaming",-90,35,3.3,3.7,70,NA,NA,0
NA,"User_215","Emergency_Service",-53,5,0.6,0.6,70,NA,NA,0
NA,"User_216","Web_Browsing",-100,17,0.4,0.4,70,NA,NA,0
NA,"User_217","Background_Download",-100,56,570,570,60,NA,NA,0
NA,"User_218","VoIP_Call",-78,30,80,105,90,NA,NA,0
NA,"User_219","Online_Gaming",-63,25,4.1,4.4,80,NA,NA,0
NA,"User_220","Streaming",-88,39,3.5,4,85,NA,NA,0
NA,"User_221","Video_Call",-59,31,12.3,13.6,75,NA,NA,0
NA,"User_222","Video_Streaming",-91,36,3.2,3.6,70,NA,NA,0
NA,"User_223","Emergency_Service",-53,5,0.6,0.6,70,NA,NA,0
NA,"User_224","Web_Browsing",-100,16,0.4,0.4,70,NA,NA,0
NA,"User_225","Background_Download",-100,57,560,560,60,NA,NA,0
NA,"User_226","VoIP_Call",-77,31,75,100,90,NA,NA,0
NA,"User_227","Online_Gaming",-62,26,4.2,4.5,80,NA,NA,0
NA,"User_228","Streaming",-89,40,3.4,3.9,85,NA,NA,0
NA,"User_229","Video_Call",-58,32,12.4,13.7,75,NA,NA,0
NA,"User_230","Video_Streaming",-92,37,3.1,3.5,70,NA,NA,0
NA,"User_231","Emergency_Service",-52,5,0.6,0.6,70,NA,NA,0
NA,"User_232","Web_Browsing",-100,15,0.3,0.3,70,NA,NA,0
NA,"User_233","Background_Download",-100,58,550,550,60,NA,NA,0
NA,"User_234","VoIP_Call",-76,32,70,95,90,NA,NA,0
NA,"User_235","Online_Gaming",-61,27,4.3,4.6,80,NA,NA,0
NA,"User_236","Streaming",-90,41,3.3,3.8,85,NA,NA,0
NA,"User_237","Video_Call",-57,33,12.5,13.8,75,NA,NA,0
NA,"User_238","Video_Streaming",-93,38,3,3.4,70,NA,NA,0
NA,"User_239","Emergency_Service",-52,5,0.6,0.6,70,NA,NA,0
NA,"User_240","Web_Browsing",-100,14,0.3,0.3,70,NA,NA,0
NA,"User_241","Background_Download",-100,59,540,540,60,NA,NA,0
NA,"User_242","VoIP_Call",-75,33,65,90,90,NA,NA,0
NA,"User_243","Online_Gaming",-60,28,4.4,4.7,80,NA,NA,0
NA,"User_244","Streaming",-91,42,3.2,3.7,85,NA,NA,0
NA,"User_245","Video_Call",-56,34,12.6,13.9,75,NA,NA,0
NA,"User_246","Video_Streaming",-94,39,2.9,3.3,70,NA,NA,0
NA,"User_247","Emergency_Service",-51,5,0.6,0.6,70,NA,NA,0
NA,"User_248","Web_Browsing",-100,13,0.3,0.3,70,NA,NA,0
NA,"User_249","Background_Download",-100,60,530,530,60,NA,NA,0
NA,"User_250","VoIP_Call",-74,34,60,85,90,NA,NA,0
NA,"User_251","Online_Gaming",-59,29,4.5,4.8,80,NA,NA,0
NA,"User_252","Streaming",-92,43,3.1,3.6,85,NA,NA,0
NA,"User_253","Video_Call",-55,35,12.7,14,75,NA,NA,0
NA,"User_254","Video_Streaming",-95,40,2.8,3.2,70,NA,NA,0
NA,"User_255","Emergency_Service",-50,5,0.6,0.6,70,NA,NA,0
NA,"User_256","Web_Browsing",-100,12,0.2,0.2,70,NA,NA,0
NA,"User_257","Background_Download",-100,61,520,520,60,NA,NA,0
NA,"User_258","VoIP_Call",-73,35,55,80,90,NA,NA,0
NA,"User_259","Online_Gaming",-58,30,4.6,4.9,80,NA,NA,0
NA,"User_260","Streaming",-93,44,3,3.5,85,NA,NA,0
NA,"User_261","Video_Call",-54,36,12.8,14.1,75,NA,NA,0
NA,"User_262","Video_Streaming",-96,41,2.7,3.1,70,NA,NA,0
NA,"User_263","Emergency_Service",-50,5,0.6,0.6,70,NA,NA,0
NA,"User_264","Web_Browsing",-100,11,0.2,0.2,70,NA,NA,0
NA,"User_265","Background_Download",-100,62,510,510,60,NA,NA,0
NA,"User_266","VoIP_Call",-72,36,50,75,90,NA,NA,0
NA,"User_267","Online_Gaming",-57,31,4.7,5,80,NA,NA,0
NA,"User_268","Streaming",-94,45,2.9,3.4,85,NA,NA,0
NA,"User_269","Video_Call",-53,37,12.9,14.2,75,NA,NA,0
NA,"User_270","Video_Streaming",-97,42,2.6,3,70,NA,NA,0
NA,"User_271","Emergency_Service",-50,5,0.6,0.6,70,NA,NA,0
NA,"User_272","Web_Browsing",-100,10,0.2,0.2,70,NA,NA,0
NA,"User_273","Background_Download",-100,63,500,500,60,NA,NA,0
NA,"User_274","VoIP_Call",-71,37,45,70,90,NA,NA,0
NA,"User_275","Online_Gaming",-56,32,4.8,5.1,80,NA,NA,0
NA,"User_276","Streaming",-95,46,2.8,3.3,85,NA,NA,0
NA,"User_277","Video_Call",-52,38,13,14.3,75,NA,NA,0
NA,"User_278","Video_Streaming",-98,43,2.5,2.9,70,NA,NA,0
NA,"User_279","Emergency_Service",-50,5,0.6,0.6,70,NA,NA,0
NA,"User_280","Web_Browsing",-100,9,0.1,0.1,70,NA,NA,0
NA,"User_281","Background_Download",-100,64,490,490,60,NA,NA,0
NA,"User_282","VoIP_Call",-70,38,40,65,90,NA,NA,0
NA,"User_283","Online_Gaming",-55,33,4.9,5.2,80,NA,NA,0
NA,"User_284","Streaming",-96,47,2.7,3.2,85,NA,NA,0
NA,"User_285","Video_Call",-51,39,13.1,14.4,75,NA,NA,0
NA,"User_286","Video_Streaming",-99,44,2.4,2.8,70,NA,NA,0
NA,"User_287","Emergency_Service",-50,5,0.5,0.5,70,NA,NA,0
NA,"User_288","Web_Browsing",-100,8,0.1,0.1,70,NA,NA,0
NA,"User_289","Background_Download",-100,65,480,480,60,NA,NA,0
NA,"User_290","VoIP_Call",-69,39,35,60,90,NA,NA,0
NA,"User_291","Online_Gaming",-54,34,5,5.3,80,NA,NA,0
NA,"User_292","Streaming",-97,48,2.6,3.1,85,NA,NA,0
NA,"User_293","Video_Call",-50,40,13.2,14.5,75,NA,NA,0
NA,"User_294","Video_Streaming",-100,45,2.3,2.7,70,NA,NA,0
NA,"User_295","Emergency_Service",-50,5,0.5,0.5,70,NA,NA,0
NA,"User_296","Web_Browsing",-100,7,0.1,0.1,70,NA,NA,0
NA,"User_297","Background_Download",-100,66,470,470,60,NA,NA,0
NA,"User_298","VoIP_Call",-68,40,30,55,90,NA,NA,0
NA,"User_299","Online_Gaming",-53,35,5.1,5.4,80,NA,NA,0
NA,"User_300","Streaming",-98,49,2.5,3,85,NA,NA,0
NA,"User_301","Video_Call",-50,41,13.3,14.6,75,NA,NA,0
NA,"User_302","Video_Streaming",-100,46,2.2,2.6,70,NA,NA,0
NA,"User_303","Emergency_Service",-50,5,0.5,0.5,70,NA,NA,0
NA,"User_304","Web_Browsing",-100,6,0.1,0.1,70,NA,NA,0
NA,"User_305","Background_Download",-100,67,460,460,60,NA,NA,0
NA,"User_306","VoIP_Call",-67,41,25,50,90,NA,NA,0
NA,"User_307","Online_Gaming",-52,36,5.2,5.5,80,NA,NA,0
NA,"User_308","Streaming",-99,50,2.4,2.9,85,NA,NA,0
NA,"User_309","Video_Call",-50,42,13.4,14.7,75,NA,NA,0
NA,"User_310","Video_Streaming",-100,47,2.1,2.5,70,NA,NA,0
NA,"User_311","Emergency_Service",-50,5,0.5,0.5,70,NA,NA,0
NA,"User_312","Web_Browsing",-100,5,0.1,0.1,70,NA,NA,0
NA,"User_313","Background_Download",-100,68,450,450,60,NA,NA,0
NA,"User_314","VoIP_Call",-66,42,20,45,90,NA,NA,0
NA,"User_315","Online_Gaming",-51,37,5.3,5.6,80,NA,NA,0
NA,"User_316","Streaming",-100,51,2.3,2.8,85,NA,NA,0
NA,"User_317","Video_Call",-50,43,13.5,14.8,75,NA,NA,0
NA,"User_318","Video_Streaming",-100,48,2,2.4,70,NA,NA,0
NA,"User_319","Emergency_Service",-50,5,0.5,0.5,70,NA,NA,0
NA,"User_320","Web_Browsing",-100,4,0.1,0.1,70,NA,NA,0
NA,"User_321","Background_Download",-100,69,440,440,60,NA,NA,0
NA,"User_322","VoIP_Call",-65,43,15,40,90,NA,NA,0
NA,"User_323","Online_Gaming",-50,38,5.4,5.7,80,NA,NA,0
NA,"User_324","Streaming",-100,52,2.2,2.7,85,NA,NA,0
NA,"User_325","Video_Call",-50,44,13.6,14.9,75,NA,NA,0
NA,"User_326","Video_Streaming",-100,49,1.9,2.3,70,NA,NA,0
NA,"User_327","Emergency_Service",-50,5,0.5,0.5,70,NA,NA,0
NA,"User_328","Web_Browsing",-100,3,0.1,0.1,70,NA,NA,0
NA,"User_329","Background_Download",-100,70,430,430,60,NA,NA,0
NA,"User_330","VoIP_Call",-64,44,10,35,90,NA,NA,0
NA,"User_331","Online_Gaming",-50,39,5.5,5.8,80,NA,NA,0
NA,"User_332","Streaming",-100,53,2.1,2.6,85,NA,NA,0
NA,"User_333","Video_Call",-50,45,13.7,15,75,NA,NA,0
NA,"User_334","Video_Streaming",-100,50,1.8,2.2,70,NA,NA,0
NA,"User_335","Emergency_Service",-50,5,0.5,0.5,70,NA,NA,0
NA,"User_336","Web_Browsing",-100,2,0.1,0.1,70,NA,NA,0
NA,"User_337","Background_Download",-100,71,420,420,60,NA,NA,0
NA,"User_338","VoIP_Call",-63,45,5,30,90,NA,NA,0
NA,"User_339","Online_Gaming",-50,40,5.6,5.9,80,NA,NA,0
NA,"User_340","Streaming",-100,54,2,2.5,85,NA,NA,0
NA,"User_341","Video_Call",-50,46,13.8,15.1,75,NA,NA,0
NA,"User_342","Video_Streaming",-100,51,1.7,2.1,70,NA,NA,0
NA,"User_343","Emergency_Service",-50,5,0.5,0.5,70,NA,NA,0
NA,"User_344","Web_Browsing",-100,1,0.1,0.1,70,NA,NA,0
NA,"User_345","Background_Download",-100,72,410,410,60,NA,NA,0
NA,"User_346","VoIP_Call",-62,46,0,25,90,NA,NA,0
NA,"User_347","Online_Gaming",-50,41,5.7,6,80,NA,NA,0
NA,"User_348","Streaming",-100,55,1.9,2.4,85,NA,NA,0
NA,"User_349","Video_Call",-50,47,13.9,15.2,75,NA,NA,0
NA,"User_350","Video_Streaming",-100,52,1.6,2,70,NA,NA,0
NA,"User_351","Emergency_Service",-50,5,0.5,0.5,70,NA,NA,0
NA,"User_352","Web_Browsing",-100,0,0.1,0.1,70,NA,NA,0
NA,"User_353","Background_Download",-100,73,400,400,60,NA,NA,0
NA,"User_354","VoIP_Call",-61,47,0,20,90,NA,NA,0
NA,"User_355","Online_Gaming",-50,42,5.8,6.1,80,NA,NA,0
NA,"User_356","Streaming",-100,56,1.8,2.3,85,NA,NA,0
NA,"User_357","Video_Call",-50,48,14,15.3,75,NA,NA,0
NA,"User_358","Video_Streaming",-100,53,1.5,1.9,70,NA,NA,0
NA,"User_359","Emergency_Service",-50,5,0.5,0.5,70,NA,NA,0
NA,"User_360","Web_Browsing",-100,0,0.1,0.1,70,NA,NA,0
NA,"User_361","Background_Download",-100,74,390,390,60,NA,NA,0
NA,"User_362","VoIP_Call",-60,48,0,15,90,NA,NA,0
NA,"User_363","Online_Gaming",-50,43,5.9,6.2,80,NA,NA,0
NA,"User_364","Streaming",-100,57,1.7,2.2,85,NA,NA,0
NA,"User_365","Video_Call",-50,49,14.1,15.4,75,NA,NA,0
NA,"User_366","Video_Streaming",-100,54,1.4,1.8,70,NA,NA,0
NA,"User_367","Emergency_Service",-50,5,0.4,0.4,70,NA,NA,0
NA,"User_368","Web_Browsing",-100,0,0.1,0.1,70,NA,NA,0
NA,"User_369","Background_Download",-100,75,380,380,60,NA,NA,0
NA,"User_370","VoIP_Call",-59,49,0,10,90,NA,NA,0
NA,"User_371","Online_Gaming",-50,44,6,6.3,80,NA,NA,0
NA,"User_372","Streaming",-100,58,1.6,2.1,85,NA,NA,0
NA,"User_373","Video_Call",-50,50,14.2,15.5,75,NA,NA,0
NA,"User_374","Video_Streaming",-100,55,1.3,1.7,70,NA,NA,0
NA,"User_375","Emergency_Service",-50,5,0.4,0.4,70,NA,NA,0
NA,"User_376","Web_Browsing",-100,0,0.1,0.1,70,NA,NA,0
NA,"User_377","Background_Download",-100,76,370,370,60,NA,NA,0
